,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
1246,1246,14340524,20240925021012,72969330,1.0,1.0,22.0,22.0,19.42164,-99.15886,4.0,1.0,2.0,2.0,1754.0,1.0,1125,3.7,1125.0,16,56,318,27.0
1247,1247,14340825,20240925021012,15443387,1.0,1.0,1.0,1.0,19.34291,-99.1481,3.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.0,1125,1.0,1125.0,28,88,363,2.0
1248,1248,14356804,20240925021012,69886882,1.0,1.0,6.0,6.0,19.34883,-99.16319,2.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.6,1125,5.0,1125.0,0,0,0,28.0
1249,1249,14358701,20240925021012,21192680,1.0,0.99,1.0,1.0,19.42915,-99.14815,4.0,1.4748595090209995,1.0,1.9678361335646877,999.0,2.0,21,2.0,21.0,0,0,0,49.0
1250,1250,14362672,20240925021012,68779828,1.0,0.99,1.0,1.0,19.4352,-99.16025,1.0,1.0,1.0,1.0,333.0,3.0,365,3.0,365.0,0,0,208,13.0
1251,1251,14371044,20240925021012,6749567,1.0,1.0,1.0,1.0,19.41234,-99.18475,4.0,1.5,2.0,2.0,1614.0,2.0,30,2.0,30.0,29,89,89,1.0
1252,1252,14381950,20240925021012,13563103,1.0,1.0,14.0,14.0,19.4311,-99.20061,2.0,2.0,1.0,1.0,520.0,1.0,1125,1.0,1125.0,30,90,365,112.0
1253,1253,14400028,20240925021012,21197414,1.0,1.0,2.0,2.0,19.42798,-99.15264,4.0,2.0,2.0,3.0,950.0,1.6,360,1.8,360.0,1,1,87,42.0
1254,1254,13844394,20240925021012,81697571,1.0,0.99,1.0,1.0,19.34275,-99.15381,2.0,1.0,1.0,1.0,2619.0,1.0,1125,1.0,1125.0,29,89,364,0.0
1255,1255,13845320,20240925021012,81289263,1.0,1.0,1.0,1.0,19.39524,-99.17973,4.0,1.0,2.0,2.0,1094.0,3.0,1125,3.0,1125.0,17,72,347,89.0
1256,1256,13857602,20240925021012,1892866,1.0,1.0,4.0,4.0,19.42734,-99.16114,3.0,1.0,1.0,2.0,1050.0,2.0,180,2.0,180.0,29,80,260,22.0
1257,1257,13859779,20240925021012,42599988,1.0,0.99,2.0,4.0,19.44199,-99.20138,6.0,1.4748595090209995,2.0,1.9678361335646877,999.0,2.0,1125,2.0,1125.0,29,89,364,4.0
1258,1258,13862291,20240925021012,1892866,1.0,1.0,4.0,4.0,19.42875,-99.16135,3.0,1.0,1.0,1.0,895.0,1.0,180,1.0,180.0,0,0,147,0.0
1259,1259,13863462,20240925021012,1892866,1.0,1.0,4.0,4.0,19.42719,-99.15989,3.0,1.0,1.0,1.0,980.0,2.0,180,2.0,180.0,0,0,0,22.0
1260,1260,13863962,20240925021012,1892866,1.0,1.0,4.0,4.0,19.42830276489257,-99.16041564941406,2.0,1.0,1.0,1.0,890.0,2.0,210,2.0,210.0,15,43,313,15.0
1261,1261,13864330,20240925021012,69708118,1.0,0.99,10.0,16.0,19.42044,-99.1709,2.0,1.0,0.0,1.0,1252.0,3.0,1125,3.0,1125.0,7,7,7,68.0
1262,1262,13867585,20240925021012,4448934,1.0,0.96,25.0,29.0,19.43759,-99.13904,4.0,1.0,1.0,1.0,1467.0,1.0,1125,3.5,1125.0,3,19,272,119.0
1263,1263,13877322,20240925021012,3977177,1.0,1.0,1.0,1.0,19.4202,-99.16619,3.0,1.0,1.0,1.0,1177.0,3.0,45,3.0,45.0,13,35,302,27.0
1264,1264,13884300,20240925021012,82193330,1.0,0.99,1.0,1.0,19.42339,-99.16634,1.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.6,1125,5.0,1125.0,0,0,0,0.0
1265,1265,13896028,20240925021012,82322722,1.0,0.99,2.0,2.0,19.42047,-99.15884,2.0,1.0,1.0,2.0,776.0,2.0,1125,2.0,1125.0,9,33,305,27.0
1266,1266,13908753,20240925021012,81720992,1.0,1.0,1.0,1.0,19.39413,-99.15088,1.0,1.0,1.0,1.0,380.0,1.6,1125,5.0,1125.0,9,62,337,73.0
1267,1267,14400092,20240925021012,1674806,1.0,0.99,4.0,4.0,19.34273,-99.17722,4.0,2.5,2.0,1.6,2188.0,1.6,1125,1.8,1125.0,30,90,365,10.0
1268,1268,14401350,20240925021012,88526889,1.0,0.99,1.0,1.0,19.38715,-99.14395,1.0,2.0,1.0,1.0,425.0,2.0,1125,2.0,1125.0,26,86,361,6.0
